index,pred_class,true_bbox,cam_bboxes,densenet_adv_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[75, 63, 80, 74]",0.4169424045768935
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[92, 74, 66, 69]",0.28744971546310827
american_bulldog_80,15,"[77.952, 100.616, 89.152, 47.04]","[65, 69, 83, 86]",0.4100037993930051
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[25, 75, 73, 76]",0.21623562771114263
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[76, 70, 81, 71]",0.2915858088554441
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[51, 32, 78, 85]",0.6750535159194676
english_setter_93,19,"[68.096, 34.272, 87.36, 157.248]","[62, 45, 67, 82]",0.3507837260032433
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[84, 31, 78, 91]",0.19013716877880182
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[115, 52, 64, 63]",0.11601574101574101
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[69, 23, 65, 67]",0.2576652363177164
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[86, 61, 78, 87]",0.3765814101803512
Abyssinian_57,31,"[28.896, 0.0, 163.968, 224.0]","[46, 54, 83, 73]",0.164965768582023
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[106, 32, 70, 85]",0.253674302155723
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[65, 32, 70, 74]",0.20939468898645328
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[91, 91, 71, 80]",0.4928374131835633
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[57, 38, 68, 74]",0.20385006258839825
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[60, 50, 77, 78]",0.2031614459321187
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[73, 90, 74, 69]",0.5066002154077609
american_pit_bull_terrier_58,2,"[29.344, 0.0, 158.592, 223.552]","[73, 96, 82, 73]",0.16884059612942015
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[40, 44, 77, 81]",0.18254482871310118
miniature_pinscher_52,31,"[13.44, 38.792, 111.104, 146.94400000000002]","[70, 44, 60, 71]",0.2317071468115031
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[75, 75, 83, 70]",0.24961286067819324
leonberger_99,35,"[50.176, 74.632, 113.792, 97.21600000000001]","[55, 69, 87, 64]",0.4395642189230135
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[62, 53, 72, 73]",0.1439017654164708
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[81, 57, 69, 68]",0.46201008812615946
Ragdoll_45,18,"[56.448, 38.512, 95.424, 126.784]","[62, 58, 69, 71]",0.4049350526429653
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[95, 80, 74, 74]",0.381501821234394
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[88, 62, 76, 72]",0.15611293102068163
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[83, 58, 77, 74]",0.27757474128888343
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[93, 67, 71, 71]",0.6384389097737121
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[65, 42, 69, 76]",0.3269611155728731
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[79, 35, 77, 77]",0.245816647597254
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[96, 56, 79, 74]",0.20035955935656785
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[80, 76, 89, 83]",0.24492224093445086
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[88, 68, 70, 71]",0.34893941917860055
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[112, 61, 76, 71]",0.15066517539456628
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[77, 95, 64, 74]",0.36482589325154924
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[75, 57, 74, 64]",0.3142236440757192
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[111, 92, 76, 64]",0.7532150389293246
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[84, 60, 65, 62]",0.17706632090666952
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[86, 78, 58, 56]",0.08599689052385971
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[78, 22, 69, 60]",0.24470770851582146
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[62, 50, 70, 75]",0.18026024110440803
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[97, 74, 67, 70]",0.252777308810894
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[97, 25, 67, 68]",0.18726361708682812
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[42, 110, 70, 66]",0.30887585661570893
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[40, 71, 82, 80]",0.5548925835821751
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[60, 32, 65, 69]",0.13336958603957008
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[55, 73, 71, 73]",0.3158099958532777
