index,pred_class,true_bbox,cam_bboxes,densenet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[81, 64, 71, 70]",0.3500344173559393
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[96, 81, 67, 59]",0.24951443241670332
american_bulldog_80,1,"[77.952, 100.616, 89.152, 47.04]","[74, 90, 66, 66]",0.5183364145774786
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[29, 82, 72, 67]",0.18801742395071233
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[84, 67, 82, 73]",0.3035007219281322
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[55, 47, 73, 73]",0.5952376033551172
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[70, 52, 76, 86]",0.4757888800929095
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[94, 17, 64, 76]",0.130294053105113
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[112, 56, 64, 64]",0.11785726071440357
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[65, 23, 71, 69]",0.27704149340645096
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[85, 71, 76, 76]",0.3205326002360313
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[48, 36, 78, 91]",0.19325417154566749
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[106, 33, 68, 73]",0.21163684636991748
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[70, 38, 74, 80]",0.239308215984518
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[87, 80, 71, 82]",0.48965788387927495
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[57, 40, 73, 88]",0.2602410178990203
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[48, 56, 85, 74]",0.2127681476711666
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[77, 93, 74, 70]",0.4769330276105358
american_pit_bull_terrier_58,2,"[29.344, 0.0, 158.592, 223.552]","[52, 80, 84, 82]",0.19428232979275742
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[43, 48, 70, 75]",0.15365726322651616
miniature_pinscher_52,31,"[13.44, 38.792, 111.104, 146.94400000000002]","[61, 44, 74, 72]",0.26788426002967924
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[61, 81, 102, 72]",0.31551752991749593
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[39, 60, 74, 73]",0.2865335862562268
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[66, 51, 77, 76]",0.16021939330616192
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[81, 55, 73, 70]",0.4992038093957091
Ragdoll_45,26,"[56.448, 38.512, 95.424, 126.784]","[74, 50, 71, 73]",0.4284095484483546
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[75, 88, 83, 70]",0.48579018304218885
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[87, 64, 87, 77]",0.19111851697871823
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[77, 58, 76, 76]",0.2813744657221114
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[91, 66, 71, 70]",0.6512066352686854
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[65, 44, 71, 79]",0.3498760107650682
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[89, 41, 79, 80]",0.26202752788238237
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[107, 57, 77, 69]",0.18209208670226565
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[68, 79, 109, 77]",0.27827702290007394
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[87, 68, 69, 70]",0.33911013976511883
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[119, 68, 75, 70]",0.14658861579345311
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[71, 80, 68, 69]",0.3614364635000568
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[82, 58, 66, 67]",0.293390404160226
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[105, 70, 78, 82]",0.6785475643344904
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[82, 56, 71, 73]",0.22772574224795733
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[84, 73, 62, 66]",0.10834337315998582
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[80, 0, 73, 89]",0.28262393947000813
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[63, 51, 74, 72]",0.18293839325795921
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[89, 75, 78, 70]",0.2942780610037274
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[94, 17, 75, 76]",0.23428503454673402
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[35, 105, 84, 72]",0.4043465759332917
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[47, 79, 72, 68]",0.4593998616395711
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[58, 40, 66, 65]",0.12757090838567572
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[51, 75, 74, 72]",0.3246451201825706
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[115, 74, 79, 82]",0.4215278453356006
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[62, 92, 104, 75]",0.3027957041083534
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[58, 74, 77, 76]",0.24530022606868832
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[63, 58, 61, 70]",0.27705409706057144
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[88, 49, 74, 79]",0.22200816540411894
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[79, 98, 81, 81]",0.30445816553728977
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[75, 63, 76, 74]",0.21852084343937833
english_cocker_spaniel_99,15,"[87.36, 53.032, 58.688, 74.816]","[72, 42, 78, 74]",0.5714047195211629
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[69, 59, 100, 76]",0.2204013153268385
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[64, 74, 96, 74]",0.23212995824571786
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[73, 72, 87, 73]",0.22176787450269692
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[37, 67, 73, 73]",0.18756973882076375
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[92, 54, 72, 81]",0.24245474965568628
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[65, 80, 96, 69]",0.2539224666908679
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[71, 71, 82, 75]",0.22055812040860395
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[74, 48, 73, 74]",0.45379110957000823
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[17, 41, 79, 82]",0.21564760882323966
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[113, 68, 70, 72]",0.4828833396671601
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[48, 43, 59, 73]",0.29675596148653316
english_setter_99,12,"[43.456, 38.792, 160.832, 146.94400000000002]","[125, 70, 65, 65]",0.1787731913605003
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[73, 71, 74, 71]",0.3701619620203851
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[35, 53, 71, 73]",0.17745594658556915
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[64, 89, 68, 64]",0.2621080343944947
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[86, 123, 70, 64]",0.24581988206938649
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[49, 60, 88, 74]",0.2025279694410035
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[48, 58, 72, 67]",0.20743773438881544
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[59, 21, 74, 68]",0.17282517025559793
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[75, 29, 66, 73]",0.3419405421029914
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[77, 61, 77, 73]",0.42609568845414864
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[57, 142, 126, 82]",0.43361518398633037
boxer_65,8,"[98.11200000000001, 85.112, 38.08, 69.888]","[74, 73, 76, 72]",0.38964855112083113
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[120, 68, 73, 70]",0.3507493018021071
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[85, 42, 73, 76]",0.42121212595051594
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[82, 61, 60, 62]",0.2448966446416842
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[67, 36, 81, 76]",0.08129722389183908
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[70, 29, 68, 77]",0.33812692722911286
