index,pred_class,true_bbox,cam_bboxes,efficientnet_adv_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[64, 53, 100, 102]",0.7060763117163729
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[71, 64, 102, 93]",0.41839211548370187
american_bulldog_80,15,"[77.952, 100.616, 89.152, 47.04]","[60, 69, 89, 91]",0.37339322274913544
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[0, 71, 124, 83]",0.3910550023172932
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[58, 58, 130, 89]",0.5624780346615038
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[39, 35, 101, 84]",0.5857282529708525
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[68, 47, 85, 93]",0.5744221540417861
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[85, 20, 97, 116]",0.30141214752029843
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[77, 32, 122, 104]",0.35114016888091043
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[66, 0, 90, 104]",0.37542749323520413
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[76, 59, 88, 106]",0.5176468308520948
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[29, 30, 117, 134]",0.4268581151722985
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[94, 0, 95, 119]",0.37257442573958716
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[61, 27, 94, 133]",0.4908294658764811
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[88, 88, 82, 87]",0.4887053107817738
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[41, 36, 104, 116]",0.42680003020078955
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[37, 50, 109, 97]",0.35764668129208976
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[67, 81, 92, 92]",0.5930133194810969
american_pit_bull_terrier_58,10,"[29.344, 0.0, 158.592, 223.552]","[26, 45, 121, 92]",0.30268419254919965
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[43, 33, 91, 126]",0.33558746288671126
miniature_pinscher_52,31,"[13.44, 38.792, 111.104, 146.94400000000002]","[55, 36, 97, 87]",0.30970387468587457
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[61, 64, 117, 91]",0.3978750203115428
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[33, 61, 81, 80]",0.3183302217988004
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[46, 40, 112, 110]",0.3373039859077093
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[74, 56, 81, 84]",0.6699737083568605
Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[63, 38, 95, 99]",0.6864739982402829
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[73, 69, 102, 83]",0.41900926001361277
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[72, 56, 109, 96]",0.2985317452851631
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[62, 45, 102, 121]",0.6012333199346087
