index,pred_class,true_bbox,cam_bboxes,efficientnet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[64, 50, 115, 112]",0.7085262985727828
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[67, 65, 117, 95]",0.4762245099739362
american_bulldog_80,1,"[77.952, 100.616, 89.152, 47.04]","[60, 71, 99, 87]",0.42388347663793613
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[0, 70, 125, 87]",0.41312426032092747
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[53, 51, 138, 101]",0.6523253501797502
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[39, 29, 108, 92]",0.5946867090686557
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[68, 62, 101, 92]",0.536091582440068
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[64, 25, 127, 125]",0.4252504303132543
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[68, 34, 130, 103]",0.37530245515878935
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[58, 16, 100, 99]",0.45196405212806673
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[66, 62, 102, 107]",0.6056601106260466
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[38, 25, 116, 123]",0.38846865590498497
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[75, 23, 114, 122]",0.5929583519969405
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[53, 24, 107, 129]",0.504267004651454
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[77, 92, 105, 99]",0.4563818458606663
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[43, 33, 111, 122]",0.4951319608088335
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[33, 43, 121, 111]",0.4543225741449028
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[64, 80, 99, 95]",0.602720734149481
american_pit_bull_terrier_58,2,"[29.344, 0.0, 158.592, 223.552]","[28, 41, 128, 118]",0.41967159160504136
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[37, 47, 96, 112]",0.3146900750879051
miniature_pinscher_52,34,"[13.44, 38.792, 111.104, 146.94400000000002]","[28, 43, 116, 92]",0.49028698876924764
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[45, 62, 142, 95]",0.4609315852527902
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[29, 56, 79, 96]",0.3156586153881862
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[42, 37, 121, 108]",0.3577831564806774
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[68, 46, 95, 90]",0.6292683756195632
Ragdoll_45,26,"[56.448, 38.512, 95.424, 126.784]","[62, 43, 97, 96]",0.6749615114523558
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[70, 70, 116, 89]",0.42356895410942186
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[74, 53, 123, 104]",0.36494821155273377
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[67, 44, 96, 118]",0.5518369023026451
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[83, 63, 98, 91]",0.6903826122018726
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[53, 36, 99, 138]",0.6759673802129852
