index,pred_class,true_bbox,cam_bboxes,mobilenet_adv_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[63, 74, 108, 101]",0.7312984249060206
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[73, 73, 100, 85]",0.44924956440588476
american_bulldog_80,1,"[77.952, 100.616, 89.152, 47.04]","[91, 96, 54, 33]",0.3449797303341459
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[19, 87, 112, 69]",0.3012020423489023
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[64, 67, 117, 82]",0.4864326639122119
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[59, 0, 95, 125]",0.5741914625596335
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[88, 47, 56, 59]",0.240515064233013
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[71, 34, 113, 137]",0.4146961834128812
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[85, 30, 112, 102]",0.32308844847294654
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[63, 29, 83, 62]",0.29230190988471777
Sphynx_59,4,"[64.512, 44.504000000000005, 115.584, 155.904]","[62, 90, 134, 96]",0.5607487081976741
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[41, 17, 116, 153]",0.48321710856473743
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[77, 29, 117, 122]",0.5935763496271265
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[56, 41, 99, 95]",0.38018475867135004
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[83, 78, 89, 93]",0.48982706588957237
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[54, 40, 107, 106]",0.45947285569904867
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[38, 53, 113, 104]",0.3975280240749682
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[75, 98, 79, 65]",0.4477795954415099
american_pit_bull_terrier_58,10,"[29.344, 0.0, 158.592, 223.552]","[56, 16, 139, 87]",0.3182430867214288
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[57, 44, 96, 115]",0.32311927352775965
miniature_pinscher_52,31,"[13.44, 38.792, 111.104, 146.94400000000002]","[71, 44, 81, 75]",0.21842490402680148
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[64, 70, 112, 84]",0.36051387661399514
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[47, 80, 50, 65]",0.27008628841077886
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[43, 42, 138, 122]",0.46094560931348977
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[75, 70, 72, 86]",0.6097115229491005
Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[70, 60, 76, 79]",0.49627067892801874
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[103, 91, 79, 60]",0.3236759519329065
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[67, 58, 125, 104]",0.3708823288137538
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[65, 58, 111, 110]",0.5948030170476074
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[87, 72, 83, 72]",0.6661051255224159
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[67, 48, 83, 63]",0.3389046167247386
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[63, 33, 125, 120]",0.5077592730910895
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[73, 56, 114, 65]",0.25396242470615255
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[62, 78, 133, 83]",0.36600739375597713
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[78, 65, 96, 84]",0.5661664942165462
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[85, 69, 139, 93]",0.34015585675807153
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[68, 80, 88, 104]",0.7026007165725825
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[74, 62, 83, 64]",0.32856545240052343
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[35, 0, 31, 31]",0.0
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[72, 60, 92, 91]",0.3678410021415973
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[59, 65, 116, 96]",0.29484648179609046
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[78, 37, 79, 65]",0.2752978556483653
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[61, 50, 86, 95]",0.28051927044247876
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[84, 72, 90, 74]",0.3589545579276235
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[99, 26, 68, 55]",0.15372386477276934
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[46, 112, 90, 61]",0.3670407906537321
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[41, 74, 96, 84]",0.7400444137185537
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[41, 46, 109, 88]",0.2601731712627926
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[43, 71, 96, 68]",0.39776339049396037
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[108, 74, 99, 89]",0.5261067822417821
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[46, 66, 137, 120]",0.5948873681936668
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[40, 75, 117, 75]",0.3678245871074402
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[61, 72, 89, 74]",0.43387130125439505
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[68, 48, 111, 96]",0.4046731116226978
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[91, 122, 76, 72]",0.1825649429343338
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[72, 63, 101, 93]",0.3649655551966715
english_cocker_spaniel_99,13,"[87.36, 53.032, 58.688, 74.816]","[78, 69, 72, 58]",0.6593011115668485
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[30, 62, 152, 114]",0.5025149989451918
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[56, 74, 127, 110]",0.45648304007498286
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[34, 54, 156, 131]",0.685591629833276
