index,pred_class,true_bbox,cam_bboxes,mobilenet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[43, 45, 144, 142]",0.6943761627543035
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[61, 63, 126, 108]",0.5210384724104177
american_bulldog_80,1,"[77.952, 100.616, 89.152, 47.04]","[70, 87, 89, 76]",0.5335737882414398
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[0, 76, 126, 93]",0.4449816411135964
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[45, 60, 147, 102]",0.6892836877592854
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[34, 38, 131, 96]",0.5167406844968566
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[42, 32, 131, 123]",0.5463703323528631
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[50, 24, 136, 155]",0.5646789965986394
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[80, 35, 144, 115]",0.3494630270616749
american_bulldog_54,34,"[67.464, 24.64, 94.976, 172.48]","[48, 31, 120, 121]",0.5920902774452921
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[56, 55, 135, 128]",0.7215102335799491
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[34, 0, 149, 191]",0.7748408661620387
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[77, 26, 119, 117]",0.5638915411840519
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[40, 36, 141, 135]",0.6328779935457515
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[74, 92, 108, 100]",0.4499530322752883
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[31, 0, 154, 173]",0.6119510941440985
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[21, 34, 158, 152]",0.7544836719350159
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[66, 79, 105, 101]",0.5758522136517285
american_pit_bull_terrier_58,9,"[29.344, 0.0, 158.592, 223.552]","[0, 38, 182, 127]",0.4948236315835861
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[33, 35, 134, 112]",0.4392548964768675
miniature_pinscher_52,34,"[13.44, 38.792, 111.104, 146.94400000000002]","[0, 51, 159, 114]",0.5813703208441864
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[49, 65, 137, 99]",0.464962541720734
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[25, 67, 90, 87]",0.37424762726064575
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[38, 37, 151, 153]",0.6325271092878091
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[64, 66, 100, 95]",0.763844977374682
Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[44, 40, 117, 108]",0.7142690994859915
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[68, 78, 124, 83]",0.43717177947527874
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[58, 45, 166, 124]",0.564752925891433
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[42, 45, 144, 141]",0.9158265156608582
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[72, 64, 116, 94]",0.615426019434317
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[45, 44, 118, 134]",0.6499522566143602
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[39, 35, 155, 121]",0.4703235179262405
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[62, 42, 162, 113]",0.583368604293132
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[36, 82, 167, 97]",0.5370915636790538
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[63, 64, 121, 97]",0.6693396470455736
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[72, 51, 152, 133]",0.5305133741610557
miniature_pinscher_88,14,"[57.263999999999996, 77.056, 98.56, 131.712]","[42, 64, 140, 131]",0.5901698703966616
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[65, 54, 102, 84]",0.4532034307140315
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[109, 97, 83, 68]",0.7351825693860865
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[44, 37, 136, 146]",0.5989505416582419
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[41, 60, 147, 109]",0.42423897070929933
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[65, 23, 112, 98]",0.4234402165146167
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[36, 46, 121, 105]",0.4362297834726674
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[73, 72, 118, 85]",0.5405877201222318
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[83, 28, 104, 79]",0.3303040447662773
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[28, 112, 121, 72]",0.5790463780194555
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[30, 65, 117, 103]",0.7660704766986252
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[33, 37, 130, 99]",0.3219992145120638
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[44, 56, 111, 115]",0.7777956004374087
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[104, 78, 120, 90]",0.6144193210297322
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[32, 74, 164, 118]",0.560494755692415
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[23, 71, 160, 90]",0.5270584800287806
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[61, 85, 107, 80]",0.5747040898093967
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[61, 33, 129, 142]",0.6536272574920072
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[55, 108, 116, 81]",0.3517242376208582
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[43, 46, 147, 134]",0.7602193601436935
english_cocker_spaniel_99,13,"[87.36, 53.032, 58.688, 74.816]","[59, 41, 123, 103]",0.34657837303654593
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[26, 41, 172, 138]",0.6883481079733998
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[28, 62, 196, 133]",0.6132772787475176
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[0, 44, 198, 146]",0.8969355576594805
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[27, 43, 160, 133]",0.7323614460698756
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[55, 59, 131, 103]",0.48790658458294545
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[0, 64, 198, 109]",0.594505697583494
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[39, 61, 150, 117]",0.6267218892582778
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[45, 41, 133, 111]",0.4885355564035131
