,index,pred_class,true_bbox,cam_bboxes,resnet_adv_iou
0,newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[44, 39, 147, 143]",0.6368301033941567
1,pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[50, 45, 174, 150]",0.6070027181609197
2,american_bulldog_80,15,"[77.952, 100.616, 89.152, 47.04]","[43, 52, 136, 146]",0.2112061885576148
3,great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[0, 55, 152, 144]",0.6081901679081679
4,havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[40, 35, 184, 151]",0.709875542758422
5,staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[27, 0, 149, 165]",0.35110342208663803
6,english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[37, 32, 135, 137]",0.5751949160553783
7,yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[58, 0, 144, 167]",0.5980870532413244
8,Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[68, 0, 156, 176]",0.5082476650061802
9,american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[38, 0, 144, 147]",0.44820946501659414
10,Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[60, 32, 164, 150]",0.5946024289535203
11,Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[46, 0, 138, 172]",0.6462497908999666
12,basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[62, 36, 162, 136]",0.6373424071619503
13,english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[28, 0, 140, 166]",0.47145036674386626
14,miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[68, 58, 129, 142]",0.41836163455874475
15,British_Shorthair_269,27,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[40, 0, 144, 166]",0.6097346410983024
16,keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[17, 32, 161, 156]",0.7264312780524116
17,english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[46, 66, 141, 136]",0.5256024964539007
18,american_pit_bull_terrier_58,1,"[29.344, 0.0, 158.592, 223.552]","[0, 20, 195, 183]",0.6891011130994783
19,Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[17, 40, 151, 131]",0.4931075948483008
20,miniature_pinscher_52,31,"[13.44, 38.792, 111.104, 146.94400000000002]","[46, 23, 136, 137]",0.3742509905205627
21,english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[34, 45, 190, 144]",0.5901337944715126
22,leonberger_99,35,"[50.176, 74.632, 113.792, 97.21600000000001]","[30, 47, 141, 129]",0.6081919331464073
23,British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[16, 0, 182, 180]",0.6748550421069675
24,Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[52, 26, 136, 138]",0.507208347729574
25,Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[37, 37, 139, 143]",0.6086550493535242
26,english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[56, 57, 152, 135]",0.29778324344199275
27,japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[55, 31, 169, 162]",0.6928824296032234
28,British_Shorthair_70,27,"[42.56, 38.344, 138.43200000000002, 148.288]","[43, 35, 181, 166]",0.6795652762663161
29,scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[59, 44, 142, 137]",0.3845915344916213
30,scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[39, 17, 133, 147]",0.5511150188866807
31,english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[50, 0, 174, 173]",0.515374688352483
32,saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[63, 27, 161, 149]",0.6400140476304387
33,havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[34, 42, 190, 159]",0.7436903726945421
34,shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[45, 42, 153, 145]",0.6420175823304033
35,Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[54, 37, 170, 152]",0.6789319950674814
36,miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[39, 59, 137, 140]",0.5966816913863565
37,pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[48, 37, 138, 142]",0.6210001671607577
38,miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[83, 58, 141, 133]",0.34435296752519595
39,leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[53, 25, 154, 147]",0.6720416753366532
40,Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[31, 37, 163, 168]",0.7250427494166793
41,Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[48, 0, 138, 132]",0.38536317784406476
42,shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[28, 37, 160, 147]",0.6868697790159398
43,Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[63, 44, 129, 125]",0.675857421616153
44,scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[58, 0, 147, 136]",0.5310133567008951
45,Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[18, 66, 147, 134]",0.7593393034825872
46,great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[20, 48, 139, 140]",0.5476558273381293
47,Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[23, 0, 147, 155]",0.45015333453698686
48,chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[32, 43, 138, 144]",0.8258739323671497
