index,pred_class,true_bbox,cam_bboxes,resnet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[33, 39, 163, 160]",0.5444249914110428
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[44, 55, 180, 141]",0.6242226534278961
american_bulldog_80,15,"[77.952, 100.616, 89.152, 47.04]","[35, 56, 137, 140]",0.2186501605839416
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[0, 55, 152, 128]",0.6200689156681796
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[40, 43, 184, 150]",0.7146080463768115
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[32, 22, 148, 141]",0.41364182633697516
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[29, 43, 142, 133]",0.5531665934727836
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[46, 0, 144, 156]",0.6017527978933508
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[59, 0, 165, 163]",0.5043110963460785
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[43, 0, 142, 143]",0.441771385996913
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[40, 40, 155, 127]",0.6013046351589239
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[0, 27, 176, 170]",0.6005520692607158
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[58, 0, 166, 179]",0.672526001192473
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[25, 0, 171, 189]",0.5516367352222282
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[64, 59, 131, 143]",0.4187643550860452
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[0, 0, 175, 153]",0.4327984672252042
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[0, 17, 169, 168]",0.5862428527777827
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[43, 72, 140, 152]",0.4736350315789473
american_pit_bull_terrier_58,1,"[29.344, 0.0, 158.592, 223.552]","[0, 60, 198, 164]",0.6177559137572309
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[0, 0, 180, 191]",0.6330239795027549
miniature_pinscher_52,21,"[13.44, 38.792, 111.104, 146.94400000000002]","[0, 26, 156, 144]",0.602078862311532
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[35, 48, 189, 140]",0.5798556527249974
leonberger_99,35,"[50.176, 74.632, 113.792, 97.21600000000001]","[0, 47, 197, 136]",0.41289948760824136
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[0, 0, 194, 175]",0.6003686207258055
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[53, 25, 133, 133]",0.49310569939660237
Ragdoll_45,23,"[56.448, 38.512, 95.424, 126.784]","[38, 44, 141, 136]",0.5875499217680157
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[37, 63, 187, 128]",0.32007458849368714
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[47, 40, 177, 149]",0.7226464035696698
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[29, 20, 154, 160]",0.7672611794909695
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[65, 44, 138, 126]",0.43028776811594205
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[39, 17, 143, 151]",0.5281828867873745
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[42, 33, 182, 143]",0.4775907008487435
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[52, 23, 172, 138]",0.5886902346512773
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[19, 58, 205, 166]",0.6288668207296643
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[43, 43, 154, 143]",0.6467695969485059
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[53, 35, 171, 159]",0.7137157164752795
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[32, 54, 144, 138]",0.5263211477357227
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[43, 28, 152, 137]",0.5263393798437968
miniature_pinscher_76,8,"[103.936, 85.384, 87.36, 73.92]","[99, 67, 125, 123]",0.4200098341463414
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[43, 17, 157, 164]",0.6180292546883647
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[23, 27, 201, 173]",0.8303046325994526
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[46, 0, 139, 143]",0.41028513015646323
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[22, 27, 164, 153]",0.737302176206819
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[63, 47, 139, 129]",0.7037022735157682
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[60, 0, 148, 135]",0.5120656633149095
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[17, 84, 150, 140]",0.6140214359337524
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[30, 51, 133, 135]",0.5935607017543858
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[25, 0, 154, 143]",0.4490311568033918
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[24, 46, 148, 136]",0.7739199652288806
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[89, 54, 135, 136]",0.7218020374536057
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[0, 44, 224, 180]",0.5977233913752513
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[0, 38, 182, 146]",0.6488694030819284
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[36, 55, 150, 129]",0.6180086049442998
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[41, 21, 183, 151]",0.6698235282148358
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[46, 87, 149, 137]",0.42607926488037157
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[34, 26, 163, 154]",0.7023413314604328
english_cocker_spaniel_99,13,"[87.36, 53.032, 58.688, 74.816]","[43, 26, 149, 133]",0.22156741222182977
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[0, 28, 199, 169]",0.7924111827160644
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[33, 61, 191, 146]",0.5617163995585488
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[0, 41, 224, 183]",0.6986253989071038
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[28, 26, 169, 167]",0.7752875289014042
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[45, 19, 179, 157]",0.5557107982027545
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[0, 36, 198, 153]",0.6640515716148335
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[25, 29, 179, 165]",0.7278687586891757
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[29, 18, 167, 147]",0.3811789964496305
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[0, 27, 150, 131]",0.5459327642969207
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[73, 46, 151, 137]",0.4351901495625271
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[0, 0, 147, 163]",0.4671366485657533
english_setter_99,22,"[43.456, 38.792, 160.832, 146.94400000000002]","[33, 0, 191, 171]",0.6069842340400464
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[35, 49, 153, 142]",0.6533087949921753
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[0, 27, 158, 143]",0.4537034049294356
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[35, 59, 136, 132]",0.4971744584567265
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[36, 70, 188, 154]",0.6294807272727273
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[0, 38, 177, 156]",0.723578814366856
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[0, 34, 165, 135]",0.7274266341680781
