index,pred_class,true_bbox,cam_bboxes,vggnet_adv_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[76, 83, 77, 57]",0.3091149009608084
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[93, 82, 67, 56]",0.23682725788704045
american_bulldog_80,13,"[77.952, 100.616, 89.152, 47.04]","[77, 97, 61, 30]",0.3568737059342977
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[27, 90, 68, 58]",0.1537190547391396
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[78, 80, 74, 54]",0.20260422399345412
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[49, 37, 50, 56]",0.2618359750662922
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[69, 82, 82, 67]",0.3999363689153067
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[75, 18, 77, 73]",0.15057213661674346
Persian_98,26,"[29.792, 11.648, 165.76, 209.66400000000002]","[110, 50, 71, 58]",0.11849028311081883
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[73, 0, 59, 81]",0.18644232650383244
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[73, 42, 108, 117]",0.6666358994393214
Abyssinian_57,0,"[28.896, 0.0, 163.968, 224.0]","[30, 67, 50, 63]",0.0857636855971897
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[91, 32, 74, 134]",0.4227620807018738
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[65, 130, 60, 94]",0.22798958414741244
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[96, 81, 61, 82]",0.5081097187901643
British_Shorthair_269,27,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[55, 43, 77, 87]",0.2713814724323688
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[53, 47, 67, 61]",0.13824855636439712
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[88, 85, 62, 49]",0.26934900332278794
american_pit_bull_terrier_58,33,"[29.344, 0.0, 158.592, 223.552]","[70, 154, 66, 44]",0.08190997179415906
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[48, 55, 73, 76]",0.1623791421677546
miniature_pinscher_52,21,"[13.44, 38.792, 111.104, 146.94400000000002]","[62, 30, 64, 99]",0.33148865979108527
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[114, 92, 63, 65]",0.14430866569580858
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[39, 88, 108, 62]",0.5106701065204762
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[58, 54, 81, 59]",0.13084218739066095
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[78, 64, 66, 65]",0.42242610359361127
Ragdoll_45,26,"[56.448, 38.512, 95.424, 126.784]","[78, 51, 66, 97]",0.5291680357257121
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[91, 77, 88, 72]",0.34196370709212814
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[90, 68, 71, 63]",0.12761205052184008
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[77, 58, 64, 63]",0.1964165245483991
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[94, 66, 60, 68]",0.5383130743517583
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[64, 53, 64, 52]",0.20362384906652206
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[74, 58, 103, 70]",0.2832258200658199
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[91, 63, 53, 59]",0.10717145776736017
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[76, 89, 107, 62]",0.21995588823056006
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[97, 64, 65, 66]",0.30119720488454654
Siamese_240,32,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[94, 32, 130, 91]",0.31042410543148485
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[69, 89, 77, 57]",0.33809561771137026
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[76, 63, 71, 53]",0.24966713949681826
miniature_pinscher_76,14,"[103.936, 85.384, 87.36, 73.92]","[92, 95, 63, 52]",0.3751351732568526
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[74, 76, 83, 71]",0.25892104940521177
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[82, 77, 63, 56]",0.09341041556902004
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[73, 27, 70, 69]",0.2854923266017917
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[71, 46, 59, 73]",0.14788206827365435
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[78, 75, 82, 85]",0.36279759632150693
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[93, 28, 71, 62]",0.1809338108903023
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[29, 104, 104, 69]",0.47976042144465963
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[42, 67, 67, 64]",0.3417585601995056
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[41, 48, 77, 58]",0.11814792031144138
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[46, 63, 80, 58]",0.2827239785373738
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[102, 66, 76, 100]",0.3917998055602568
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[38, 128, 112, 64]",0.23303100602640184
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[37, 52, 118, 89]",0.44021581923673353
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[66, 54, 58, 66]",0.2660015817320413
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[91, 0, 63, 128]",0.2708240917908619
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[90, 123, 67, 54]",0.16859004035934352
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[76, 63, 74, 65]",0.1868928266257841
english_cocker_spaniel_99,12,"[87.36, 53.032, 58.688, 74.816]","[79, 36, 54, 57]",0.32316187509440425
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[20, 87, 160, 79]",0.3665621875962156
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[67, 65, 80, 101]",0.26402168674344034
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[65, 106, 69, 79]",0.19034115633982066
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[22, 53, 81, 99]",0.2738479448376902
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[83, 59, 74, 70]",0.2153490403320396
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[61, 66, 55, 65]",0.13704299794985697
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[68, 89, 85, 52]",0.15851494182211862
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[69, 35, 63, 61]",0.2949550571963602
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[30, 52, 59, 48]",0.11167587925318395
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[121, 91, 64, 46]",0.27185035581656164
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[41, 44, 62, 65]",0.25937084725539317
english_setter_99,14,"[43.456, 38.792, 160.832, 146.94400000000002]","[94, 42, 59, 57]",0.14229922900481953
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[70, 83, 65, 61]",0.27934757887530015
Birman_37,26,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[36, 82, 73, 77]",0.19245222376181442
Egyptian_Mau_67,11,"[52.416000000000004, 64.776, 171.584, 96.768]","[68, 87, 67, 58]",0.23404223843221653
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[88, 126, 64, 54]",0.1896324804535267
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[35, 67, 140, 87]",0.3788069207296411
