index,pred_class,true_bbox,cam_bboxes,vggnet_iou
newfoundland_31,22,"[60.928000000000004, 54.024, 107.072, 132.608]","[85, 61, 70, 67]",0.33031416849081596
pug_57,25,"[84.224, 72.84, 139.776, 113.34400000000001]","[94, 94, 66, 55]",0.22912658478943412
american_bulldog_80,1,"[77.952, 100.616, 89.152, 47.04]","[75, 96, 67, 55]",0.6191707133928757
great_pyrenees_22,15,"[2.24, 67.70400000000001, 213.696, 120.06400000000001]","[27, 94, 64, 59]",0.1471711842532939
havanese_97,16,"[45.696, 43.272, 138.88, 142.016]","[62, 57, 106, 95]",0.5105667006041249
staffordshire_bull_terrier_30,34,"[56.64, 22.400000000000002, 75.264, 114.688]","[55, 37, 54, 63]",0.37763083778617823
english_setter_93,13,"[68.096, 34.272, 87.36, 157.248]","[71, 76, 85, 61]",0.37412330019954276
yorkshire_terrier_39,36,"[28.896, 0.0, 166.656, 224.0]","[80, 23, 79, 71]",0.15025068747256967
Persian_98,23,"[29.792, 11.648, 165.76, 209.66400000000002]","[94, 41, 87, 59]",0.1476956345817953
american_bulldog_54,8,"[67.464, 24.64, 94.976, 172.48]","[66, 28, 65, 65]",0.25064848735291134
Sphynx_59,33,"[64.512, 44.504000000000005, 115.584, 155.904]","[76, 55, 90, 99]",0.49445039267711893
Abyssinian_57,5,"[28.896, 0.0, 163.968, 224.0]","[37, 90, 84, 48]",0.10977751756440282
basset_hound_3,3,"[51.072, 19.68, 141.12, 166.208]","[112, 32, 64, 71]",0.19373042504127821
english_setter_34,13,"[55.328, 29.568, 127.232, 194.43200000000002]","[65, 31, 73, 68]",0.20066317299782896
miniature_pinscher_7,21,"[95.2, 70.336, 64.06400000000001, 153.66400000000002]","[98, 89, 58, 58]",0.3417195309896267
British_Shorthair_269,9,"[50.23529411764706, 28.41176470588235, 142.05882352941177, 173.76470588235293]","[61, 53, 66, 59]",0.1577488361922144
keeshond_46,18,"[22.848, 38.448, 199.36, 148.288]","[64, 40, 72, 75]",0.18266263870020663
english_cocker_spaniel_73,12,"[52.864000000000004, 87.136, 94.528, 106.624]","[87, 93, 63, 49]",0.2899266968220131
american_pit_bull_terrier_58,2,"[29.344, 0.0, 158.592, 223.552]","[43, 108, 86, 99]",0.24014514457832994
Sphynx_239,33,"[31.9952, 11.4688, 172.3904, 198.1952]","[43, 28, 85, 120]",0.2985341114115171
miniature_pinscher_52,21,"[13.44, 38.792, 111.104, 146.94400000000002]","[76, 40, 56, 61]",0.17646175981350265
english_cocker_spaniel_50,12,"[2.688, 44.616, 164.416, 141.568]","[64, 87, 105, 68]",0.29955480885549507
leonberger_99,19,"[50.176, 74.632, 113.792, 97.21600000000001]","[40, 71, 69, 60]",0.2789517548509432
British_Shorthair_89,9,"[36.472, 7.168, 168.448, 216.832]","[66, 60, 95, 66]",0.17166363568517348
Birman_62,6,"[70.784, 55.368, 89.60000000000001, 113.34400000000001]","[94, 63, 55, 59]",0.31952743733362904
Ragdoll_45,26,"[56.448, 38.512, 95.424, 126.784]","[60, 81, 87, 71]",0.5105702837672171
english_setter_67,13,"[1.792, 91.344, 164.416, 64.96000000000001]","[77, 93, 90, 60]",0.4989269483728952
japanese_chin_66,17,"[28.64, 38.08, 191.296, 183.232]","[91, 67, 83, 67]",0.1586520485025604
British_Shorthair_70,9,"[42.56, 38.344, 138.43200000000002, 148.288]","[90, 60, 64, 63]",0.1964165245483991
scottish_terrier_28,30,"[85.12, 66.568, 76.608, 97.664]","[98, 68, 65, 66]",0.5559293642212474
scottish_terrier_8,30,"[66.976, 28.672, 91.84, 168.0]","[63, 57, 70, 56]",0.23622520536966538
english_cocker_spaniel_69,12,"[59.44, 10.304, 113.34400000000001, 212.8]","[68, 27, 92, 83]",0.3165889561566253
saint_bernard_48,28,"[11.648, 46.408, 211.45600000000002, 137.984]","[95, 52, 76, 65]",0.16930828313743504
havanese_27,16,"[10.304, 37.0, 203.392, 148.288]","[107, 88, 91, 63]",0.1900824701877903
shiba_inu_8,31,"[76.608, 51.24, 116.032, 122.75200000000001]","[98, 64, 68, 61]",0.29122750719372936
Siamese_240,6,"[0.0, 31.733333333333334, 218.02666666666667, 164.26666666666668]","[106, 58, 92, 89]",0.22862239735557985
miniature_pinscher_88,21,"[57.263999999999996, 77.056, 98.56, 131.712]","[76, 91, 73, 57]",0.3205322089990913
pomeranian_74,24,"[39.872, 52.232, 112.896, 133.504]","[76, 59, 74, 55]",0.2700359441275712
miniature_pinscher_76,4,"[103.936, 85.384, 87.36, 73.92]","[127, 64, 33, 29]",0.03508539165174063
leonberger_2,19,"[67.2, 41.480000000000004, 156.8, 145.15200000000002]","[68, 42, 77, 67]",0.22667125299193747
Persian_265,23,"[3.214092140921409, 29.745257452574524, 213.0731707317073, 177.25745257452573]","[79, 77, 72, 56]",0.1067547606503086
Siamese_73,32,"[66.568, 16.576, 84.672, 199.808]","[76, 28, 77, 67]",0.29590639616100006
shiba_inu_56,31,"[0.0, 28.448, 173.824, 167.552]","[67, 56, 69, 65]",0.15399374882919428
Bombay_60,7,"[52.416000000000004, 49.448, 171.136, 108.416]","[97, 69, 60, 82]",0.2651736373879741
scottish_terrier_31,30,"[42.376, 15.232000000000001, 142.912, 170.24]","[97, 32, 61, 60]",0.1504356537615871
Bengal_22,5,"[28.448, 73.47200000000001, 121.408, 123.2]","[29, 123, 66, 59]",0.260338222004669
great_pyrenees_39,15,"[42.112, 74.088, 105.72800000000001, 100.8]","[45, 68, 76, 65]",0.40263342217689563
Birman_53,6,"[48.6, 10.752, 157.696, 213.248]","[52, 36, 75, 67]",0.1494274626195852
chihuahua_44,10,"[33.6, 55.368, 125.888, 130.368]","[53, 75, 70, 70]",0.2985662704381749
scottish_terrier_195,30,"[113.34400000000001, 42.896, 110.656, 138.88]","[125, 110, 64, 55]",0.22904878289307104
Maine_Coon_263,20,"[2.756923076923077, 38.135384615384616, 177.13230769230768, 145.4276923076923]","[29, 90, 95, 86]",0.31715909007246756
Siamese_84,32,"[36.288000000000004, 38.032, 175.168, 136.192]","[44, 69, 116, 72]",0.3500935557289277
Abyssinian_65,0,"[72.24000000000001, 52.120000000000005, 101.36000000000001, 122.64000000000001]","[65, 45, 64, 77]",0.2961671041883927
Siamese_20,32,"[41.928, 11.648, 143.36, 183.68]","[87, 24, 67, 96]",0.24426214845694372
japanese_chin_59,17,"[29.12, 49.544, 155.904, 122.304]","[80, 122, 88, 62]",0.2178383665699277
British_Shorthair_95,9,"[39.872, 46.512, 184.12800000000001, 139.776]","[81, 71, 71, 59]",0.16276383591172758
english_cocker_spaniel_99,12,"[87.36, 53.032, 58.688, 74.816]","[81, 41, 60, 54]",0.4184600463576778
basset_hound_82,3,"[12.096, 35.888, 211.45600000000002, 163.072]","[34, 66, 124, 86]",0.3092578456112376
Bombay_94,7,"[6.272, 28.448, 184.12800000000001, 166.208]","[64, 76, 90, 86]",0.2529118632913649
newfoundland_65,22,"[0.0, 41.888, 186.368, 153.66400000000002]","[98, 67, 71, 62]",0.1537115703922015
Abyssinian_230,0,"[23.893333333333334, 27.946666666666665, 194.13333333333335, 146.34666666666666]","[19, 43, 100, 93]",0.306414713495937
scottish_terrier_46,30,"[47.304, 29.568, 127.232, 189.056]","[87, 61, 72, 62]",0.18558264788459938
saint_bernard_50,28,"[34.944, 48.647999999999996, 189.056, 137.984]","[62, 56, 84, 84]",0.27048262756201147
samoyed_80,29,"[0.0, 38.896, 188.608, 147.84]","[72, 74, 78, 77]",0.21539383271123175
staffordshire_bull_terrier_35,34,"[70.784, 37.408, 78.848, 150.976]","[67, 53, 58, 65]",0.2900416837250502
Siamese_91,32,"[0.896, 53.536, 200.704, 121.85600000000001]","[33, 52, 58, 55]",0.1263302604387943
basset_hound_65,3,"[96.768, 66.352, 79.744, 112.896]","[104, 78, 67, 56]",0.4167602200056052
yorkshire_terrier_32,36,"[44.800000000000004, 43.68, 105.28, 136.192]","[50, 40, 69, 69]",0.30886883060572706
english_setter_99,12,"[43.456, 38.792, 160.832, 146.94400000000002]","[154, 63, 40, 69]",0.11678438062839783
havanese_99,16,"[45.696, 55.576, 116.48, 121.85600000000001]","[71, 68, 90, 77]",0.48824179611748547
Birman_37,6,"[30.240000000000002, 43.456, 162.17600000000002, 180.096]","[38, 63, 75, 66]",0.16947847493701856
Egyptian_Mau_67,33,"[52.416000000000004, 64.776, 171.584, 96.768]","[43, 75, 27, 19]",0.019907113509421218
Persian_84,23,"[38.344, 100.352, 147.392, 123.648]","[79, 126, 76, 59]",0.24603936410694843
keeshond_22,18,"[7.168, 37.448, 216.832, 148.288]","[42, 55, 109, 73]",0.24746852777058737
wheaten_terrier_82,35,"[8.96, 46.128, 156.352, 148.736]","[51, 38, 134, 93]",0.372930329491959
shiba_inu_42,31,"[40.136, 1.344, 146.048, 199.36]","[49, 29, 72, 75]",0.1854642129134
Abyssinian_3,0,"[79.85155350978135, 28.354430379746837, 66.76179516685846, 190.2324510932106]","[73, 29, 71, 83]",0.4012620081176843
Russian_Blue_47,27,"[67.648, 43.72, 93.184, 141.568]","[84, 43, 80, 93]",0.5235676806240994
Egyptian_Mau_61,11,"[21.056, 105.28, 200.704, 118.72]","[26, 127, 155, 67]",0.4358394972607473
boxer_65,28,"[98.11200000000001, 85.112, 38.08, 69.888]","[97, 89, 52, 66]",0.7020227264438927
Bombay_33,7,"[18.670025188916878, 72.78589420654912, 168.1410579345088, 69.40050377833754]","[133, 91, 61, 53]",0.22674254112622175
great_pyrenees_8,15,"[70.06666666666666, 45.733333333333334, 81.2, 130.66666666666666]","[96, 32, 64, 60]",0.2149984640991586
Persian_39,23,"[71.944, 19.264, 106.624, 142.464]","[85, 63, 61, 61]",0.2449624770730395
basset_hound_45,3,"[129.248, 15.68, 66.752, 191.744]","[54, 41, 91, 84]",0.06920288585054862
german_shorthaired_54,14,"[56.944, 30.464000000000002, 107.968, 139.776]","[65, 45, 67, 61]",0.27081765493262416
Birman_35,6,"[14.336, 38.896, 202.048, 147.392]","[130, 50, 65, 63]",0.1375071998299721
english_cocker_spaniel_42,12,"[110.656, 39.688, 77.504, 133.056]","[109, 57, 72, 59]",0.3986806542714513
Bombay_90,7,"[16.128, 44.128, 207.872, 150.976]","[133, 59, 91, 99]",0.2870599980037932
miniature_pinscher_22,21,"[25.536, 29.344, 133.504, 165.76]","[91, 56, 63, 63]",0.1793523546617087
english_cocker_spaniel_96,12,"[123.2, 58.32, 100.352, 147.84]","[142, 76, 65, 67]",0.29354194879047396
Ragdoll_96,26,"[21.952, 50.400000000000006, 155.904, 127.232]","[124, 61, 61, 61]",0.16205873194841056
Persian_26,23,"[3.584, 37.0, 219.96800000000002, 148.736]","[92, 75, 75, 64]",0.1467119986659302
saint_bernard_199,28,"[0.0, 78.624, 190.848, 77.504]","[120, 75, 64, 57]",0.2273825892006357
Persian_61,23,"[38.448, 1.344, 147.84, 222.656]","[76, 85, 81, 62]",0.15256339754669015
scottish_terrier_99,30,"[23.744, 59.400000000000006, 82.432, 92.288]","[49, 68, 71, 66]",0.44291951656357603
saint_bernard_4,28,"[1.344, 42.336, 171.584, 153.66400000000002]","[73, 46, 63, 64]",0.15292257468874476
saint_bernard_84,28,"[0.0, 28.896, 191.744, 142.464]","[75, 79, 90, 70]",0.23062884947225232
boxer_198,1,"[72.128, 36.96, 151.424, 159.04]","[124, 69, 72, 73]",0.21825001148054857
japanese_chin_90,17,"[0.0, 38.752, 220.864, 140.672]","[131, 71, 93, 61]",0.17535461783949885
chihuahua_191,10,"[65.70666666666666, 58.61333333333333, 114.98666666666668, 136.64000000000001]","[78, 73, 86, 68]",0.37220484851381463
leonberger_19,19,"[45.248, 49.096000000000004, 174.72, 130.368]","[61, 56, 72, 76]",0.24023288934923695
Persian_95,23,"[8.512, 33.272, 203.84, 157.248]","[70, 53, 70, 55]",0.12011194188391991
Russian_Blue_211,27,"[38.344, 54.656, 147.392, 168.89600000000002]","[39, 50, 90, 98]",0.33188375657713376
keeshond_85,18,"[22.400000000000002, 68.32, 163.968, 98.11200000000001]","[62, 90, 85, 59]",0.3117379743929161
boxer_84,8,"[29.568, 72.84, 194.43200000000002, 103.488]","[66, 91, 73, 57]",0.20679497354780083
Egyptian_Mau_62,11,"[70.112, 44.800000000000004, 102.592, 160.38400000000001]","[72, 45, 86, 114]",0.5958387798167741
Bombay_66,7,"[0.0, 28.448, 157.248, 167.552]","[24, 57, 105, 124]",0.4941698415963122
newfoundland_47,22,"[20.608, 49.056, 127.68, 146.94400000000002]","[75, 60, 71, 64]",0.24219411769842722
British_Shorthair_57,9,"[28.896, 25.984, 167.104, 198.016]","[67, 83, 86, 63]",0.16373890115955642
beagle_44,4,"[12.096, 55.816, 173.824, 129.92000000000002]","[84, 59, 67, 95]",0.281846506766144
japanese_chin_73,17,"[60.928000000000004, 40.992000000000004, 125.888, 151.872]","[123, 62, 69, 62]",0.20352556480004702
english_setter_41,13,"[28.448, 39.872, 130.816, 184.12800000000001]","[30, 67, 118, 115]",0.56337704346062
basset_hound_2,3,"[0.896, 55.368, 174.72, 129.024]","[104, 67, 73, 72]",0.2277266913387541
great_pyrenees_23,15,"[73.92, 46.368, 75.712, 142.464]","[85, 37, 70, 71]",0.33835515769548186
scottish_terrier_57,30,"[77.504, 69.80799999999999, 84.224, 87.808]","[74, 73, 63, 65]",0.5072920515742898
British_Shorthair_42,9,"[12.992, 42.824, 196.22400000000002, 137.088]","[137, 75, 64, 56]",0.1332344200998512
